Delete contact %{name}?,Delete contact %{name}?,AddressBook
Edit contact,Edit contact,AddressBook
Delete contact,Delete contact,AddressBook
%{smart_count} address |||| %{smart_count} addresses,%{smart_count} address |||| %{smart_count} addresses,AddressBook
New contact,New contact,AddressBook
No information,No information,AddressBook
Delete,Delete,AddressBook
Edit,Edit,AddressBook
NXS addresses,NXS addresses,AddressBook
My address for %{name},My address for %{name},AddressBook
%{name}'s Address,%{name}'s Address,AddressBook
Contact info,Contact info,AddressBook
Email,Email,AddressBook
Phone Number,Phone Number,AddressBook
Local Time,Local Time,AddressBook
Notes,Notes,AddressBook
Address book,Address book,AddressBook
Your address book is empty,Your address book is empty,AddressBook
Create new contact,Create new contact,AddressBook
Search contact,Search contact,AddressBook
My Addresses,My Addresses,AddressBook
Export contacts,Export contacts,AddressBook
Legacy Mode,Legacy Mode,Header
Tritium Mode,Tritium Mode,Header
Unknown login status,Unknown login status,Header
Wallet is not encrypted,Wallet is not encrypted,Header
Not logged in,Not logged in,Header
Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>,Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>,Header
My Addresses,My Addresses,Header
Wallet is staking,Wallet is staking,Header
Stake Rate,Stake Rate,Header
Waiting for 100% synchronization to start staking...,Waiting for 100% synchronization to start staking...,Header
Waiting for average age of balance to exceed 72 hours to start staking...,Waiting for average age of balance to exceed 72 hours to start staking...,Header
Wallet is not staking,Wallet is not staking,Header
Checking sync status,Checking sync status,Header
Synchronizing,Synchronizing,Header
Synchronized,Synchronized,Header
You're not logged in,You're not logged in,Header
You are staking but have not received a block in 30 minutes!,You are staking but have not received a block in 30 minutes!,Header
Accounts,Accounts,Header.UserDropdown
Tokens,Tokens,Header.UserDropdown
Set recovery phrase,Set recovery phrase,Header.UserDropdown
Migrate stake,Migrate stake,Header.UserDropdown
Log out,Log out,Header.UserDropdown
Log in,Log in,Header.UserDropdown
Create new user,Create new user,Header.UserDropdown
Overview,Overview,NavigationBar
User,User,NavigationBar
Send NXS,Send NXS,NavigationBar
Send,Send,NavigationBar
Transactions,Transactions,NavigationBar
Address Book,Address Book,NavigationBar
