"Delete contact %{name}?","Poista yhteystieto %{name}?","AddressBook"
"Edit contact","Muokkaa yhteystietoa","AddressBook"
"Delete contact","Poista yhteystieto","AddressBook"
"%{smart_count} address |||| %{smart_count} addresses","-> %{smart_count} osoite |||| %{smart_count} osoitteet","AddressBook"
"New contact","Uusi yhteystieto","AddressBook"
"No information","Ei tietoja","AddressBook"
"Delete","Poista","AddressBook"
"Edit","Muokkaa","AddressBook"
"NXS addresses","NXS osoitteet","AddressBook"
"My address for %{name}","Osoitteeni %{name}","AddressBook"
"%{name}'s Address","%{name}'s Osoite","AddressBook"
"Contact info","Yhteystiedot","AddressBook"
"Nexus user ID","","AddressBook"
"Email","Sähköposti","AddressBook"
"Phone Number","Puhelinnumero","AddressBook"
"Local Time","Paikallinen aika","AddressBook"
"Notes","Merkinnät","AddressBook"
"Address book","Osoitekirja","AddressBook"
"Your address book is empty","Osoitekirjasi on tyhjä","AddressBook"
"Create new contact","Luo uusi yhteystieto","AddressBook"
"Search contact","Etsi yhteystieto","AddressBook"
"Export contacts","Vie yhteystietoja","AddressBook"
"Tritium Mode","","Header"
"Lite","","Header"
"Hybrid","","Header"
"Wallet is staking","Lompakko panostaa","Header"
"pooled","","Header"
"Stake Rate","Panostus Kurssi","Header"
"Waiting for 100% synchronization to start staking...","Odotetaan että synkronointi saavuttaa 100% aloittakseen panostuksen...","Header"
"Wallet is not staking","Lompakko ei panosta","Header"
"Synchronized","Synkronoitu","Header"
"Synchronizing","Synkronoidaan","Header"
"Blocks","","Header"
"Estimated %{time} remaining","","Header"
"%{smart_count} hour |||| %{smart_count} hours","","Header"
"%{smart_count} minute |||| %{smart_count} minutes","","Header"
"%{smart_count} second |||| %{smart_count} seconds","","Header"
"You're not logged in","","Header"
"You are staking but have not received a block in 30 minutes!","","Header"
"Switching...","",""
"Active","",""
"Switch","",""
"Switch user","",""
"Closing Nexus Wallet","Suljetaan Nexus Lompakko",""
"Pre-Release Active","",""
"You are currenctly running a * version of the wallet. ","",""
"Thank you for testing our wallet, please ","",""
"Click here","",""
" To send feedback to the developers. ","",""
"Or join us on the offical ","",""
"Ok","",""
"Testnet Only Mode","",""
"You are currenctly running a Testnet only version of the wallet. ","",""
"The core will only connect to nexus-interactions.io:testnet1 ","",""
"Close","Sulje",""
"Remote Core is disconnected","",""
