Delete contact %{name}?,,AddressBook
Edit contact,連絡先を編集,AddressBook
Delete contact,,AddressBook
%{smart_count} address |||| %{smart_count} addresses,,AddressBook
New contact,,AddressBook
No information,,AddressBook
Delete,,AddressBook
Edit,,AddressBook
NXS addresses,,AddressBook
My address for %{name},,AddressBook
%{name}'s Address,,AddressBook
Contact info,,AddressBook
Email,,AddressBook
Phone Number,電話番号,AddressBook
Local Time,現地時間,AddressBook
Notes,ノート,AddressBook
Address book,住所録,AddressBook
Your address book is empty,,AddressBook
Create new contact,,AddressBook
Search contact,検索連絡先,AddressBook
My Addresses,私のアドレス,AddressBook
Export contacts,連絡先のエクスポート,AddressBook
Legacy Mode,,Header
Tritium Mode,,Header
Unknown login status,,Header
Wallet is not encrypted,,Header
Not logged in,ウォレットロック,Header
Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>,,Header
My Addresses,私のアドレス,Header
Wallet is staking,,Header
Stake Rate,金利,Header
Waiting for 100% synchronization to start staking...,,Header
Waiting for average age of balance to exceed 72 hours to start staking...,,Header
Wallet is not staking,,Header
Checking sync status,,Header
Synchronizing,同期,Header
Synchronized,同期された,Header
pooled,,Header
You're not logged in,,Header
You are staking but have not received a block in 30 minutes!,,Header
Switching...,,
Active,,
Switch,,
Switch user,,
Closing Nexus Wallet,,
Warning,,
IMPROPER USE OF THIS SOFTWARE COULD LEAD TO PERMANENT LOSS OF COIN.,,
BACKUP YOUR WALLET OFTEN AND KEEP YOUR PASSWORDS SAFE.,,
I understand the risk,,
Close,閉じる,
Remote Core is disconnected,,
Connecting to Nexus Core...,,
Nexus Core is stopped,,
Address has been copied to clipboard,,
Copy to clipboard,,
Click to copy to clipboard,,
Show QR code,,
Log in,,
No Rows Found,行が見つかりません,
Page,ページ,
rows,,
Previous,前,
Next,次,
Use virtual keyboard,,
<token_name></token_name> token,,
Unnamed token,,
Switch to Legacy Mode,,
Are you sure you want to switch to Legacy Mode?,,
Switch to Tritium Mode,,
Start Nexus Core,,
Stop Nexus Core,,
Quit Nexus,,
About,,
Backup Wallet,,
Nexus Core is not connected,デーモンがロードされていない,
Wallet backed up,ウォレットのバックアップ,
View Backups,,
Cut,,
Copy,コピー,
Paste,ペースト,
Core,コア,
Application,応用,
Key Management,,
Style,スタイル,
Modules,,
Download Recent Database,,
Cannot bootstrap recent database in manual mode,,
Please wait for Nexus Core to start.,,
Toggle FullScreen,,
Toggle Developer Tools,,
Toggle Module's Developer Tools,,
Nexus Website,,
Nexus Git Repository,,
Nexus Wallet Guide,,
Open Core Data Folder,,
Open Interface Data Folder,,
Check for Updates...,,
There are currently no updates available,,
Checking for Updates...,,
Update available! Downloading...,,
Quit and install update...,,
File,,
Edit,,
Settings,設定,
View,,
Help,,
Transaction received,トランザクションの受領,
Transaction sent,トランザクション送信済み,
Genesis transaction,ジェネシス取引,
Trust transaction,トラスト取引,
Update available for %{smart_count} module |||| Updates available for %{smart_count} modules,,
New transaction,,
Error,,
Unknown error,,
Accounts,,Header.UserDropdown
Tokens,,Header.UserDropdown
Set recovery phrase,,Header.UserDropdown
Switch user,,Header.UserDropdown
Log in to another user,,Header.UserDropdown
Log out of all users,,Header.UserDropdown
Log out,,Header.UserDropdown
Log in,,Header.UserDropdown
Create new user,,Header.UserDropdown
Overview,概要,NavigationBar
User,,NavigationBar
Send NXS,送信 NXS,NavigationBar
Send,送信,NavigationBar
Transactions,トランザクション,NavigationBar
Address Book,,NavigationBar
Settings,設定,NavigationBar
Console,コンソール,NavigationBar
Lite mode,,LiteModeNotice
Lite mode is now available on Nexus Wallet! You can choose to enable lite mode now or just ignore it. You can change your decision anytime under Settings/Core.,,LiteModeNotice
