"Delete contact %{name}?","","AddressBook"
"Edit contact","연락처 편집","AddressBook"
"Delete contact","","AddressBook"
"%{smart_count} address |||| %{smart_count} addresses","","AddressBook"
"New contact","","AddressBook"
"No information","","AddressBook"
"Delete","","AddressBook"
"Edit","","AddressBook"
"NXS addresses","","AddressBook"
"My address for %{name}","","AddressBook"
"%{name}'s Address","","AddressBook"
"Contact info","","AddressBook"
"Nexus user ID","","AddressBook"
"Email","","AddressBook"
"Phone Number","전화 번호","AddressBook"
"Local Time","현지 시각","AddressBook"
"Notes","노트","AddressBook"
"Address book","주소록","AddressBook"
"Your address book is empty","","AddressBook"
"Create new contact","","AddressBook"
"Search contact","연락처 검색","AddressBook"
"Export contacts","연락처 내보내기","AddressBook"
"Tritium Mode","","Header"
"Lite","","Header"
"Hybrid","","Header"
"Wallet is staking","","Header"
"pooled","","Header"
"Stake Rate","이자율","Header"
"Waiting for 100% synchronization to start staking...","","Header"
"Wallet is not staking","","Header"
"Synchronized","동기화 됨","Header"
"Synchronizing","동기화 중","Header"
"Blocks","","Header"
"Estimated %{time} remaining","","Header"
"%{smart_count} hour |||| %{smart_count} hours","","Header"
"%{smart_count} minute |||| %{smart_count} minutes","","Header"
"%{smart_count} second |||| %{smart_count} seconds","","Header"
"You're not logged in","","Header"
"You are staking but have not received a block in 30 minutes!","","Header"
"Switching...","",""
"Active","",""
"Switch","",""
"Switch user","",""
"Closing Nexus Wallet","",""
"Pre-Release Active","",""
"You are currenctly running a * version of the wallet. ","",""
"Thank you for testing our wallet, please ","",""
"Click here","",""
" To send feedback to the developers. ","",""
"Or join us on the offical ","",""
"Ok","",""
"Testnet Only Mode","",""
"You are currenctly running a Testnet only version of the wallet. ","",""
"The core will only connect to nexus-interactions.io:testnet1 ","",""
"Close","닫기",""
"Remote Core is disconnected","",""
"Connecting to Nexus Core...","",""
"Nexus Core is stopped","",""
"Address has been copied to clipboard","",""
"Copy to clipboard","",""
"Click to copy to clipboard","",""
"Show QR code","",""
"Log in","",""
"No Rows Found","행이 없습니다.",""
"Use virtual keyboard","",""
"<token_name></token_name> token","",""
"Unnamed token","",""
"Start Nexus Core","",""
"Stop Nexus Core","",""
"Quit Nexus","",""
"About","",""
"Cut","",""
"Copy","부",""
"Paste","풀",""
"Core","핵심",""
"Application","신청",""
"Key Management","",""
"Style","스타일",""
"Modules","",""
"Download Recent Database","",""
"Cannot bootstrap recent database in manual mode","",""
"Please wait for Nexus Core to start.","",""
"Reload wallet GUI","",""
"Toggle FullScreen","",""
"Toggle Developer Tools","",""
"Toggle Module's Developer Tools","",""
"Nexus Website","",""
"Nexus Git Repository","",""
"Nexus Wallet Guide","",""
"Report Bug","",""
"Open Core Data Folder","",""
"Open Interface Data Folder","",""
"Check for Updates...","",""
"There are currently no updates available","",""
"Checking for Updates...","",""
"Update available! Downloading...","",""
"Quit and install update...","",""
"File","",""
"Edit","",""
"Settings","설정",""
"View","",""
"Help","",""
"Error","",""
"Unknown error","",""
"Required!","",""
"Invalid!","",""
"Out of range!","",""
"Must be at least %{min} characters","",""
"Update available for %{smart_count} module |||| Updates available for %{smart_count} modules","",""
"Error fetching transactions","",""
"New transaction","",""
"%{smart_count} day |||| %{smart_count} days","",""
"%{smart_count} hour |||| %{smart_count} hours","",""
"%{smart_count} minute |||| %{smart_count} minutes","",""
"%{smart_count} second |||| %{smart_count} seconds","",""
"Switch user","","Header.UserDropdown"
"Log in to another user","","Header.UserDropdown"
"Accounts","","Header.UserDropdown"
"Tokens","","Header.UserDropdown"
"Set recovery phrase","","Header.UserDropdown"
"Log out of all users","","Header.UserDropdown"
"Log out","","Header.UserDropdown"
"Log in","","Header.UserDropdown"
"Create new user","","Header.UserDropdown"
"Overview","개요","NavigationBar"
"User","","NavigationBar"
"Send","보내다","NavigationBar"
"Transactions","업무","NavigationBar"
"Address Book","","NavigationBar"
"Settings","설정","NavigationBar"
"Console","콘솔","NavigationBar"
"Lite mode","","LiteModeNotice"
"Lite mode is now available on Nexus Wallet! You can choose to enable lite mode now or just ignore it. You can change your decision anytime under Settings/Core.","","LiteModeNotice"
"Why you might want to enable lite mode","","LiteModeNotice"
"Nexus Core would take less resources (memory and storage) to run","","LiteModeNotice"
"Synchronization would be much faster","","LiteModeNotice"
"Why you might NOT want to enable lite mode","","LiteModeNotice"
"You would NOT be able to mine or stake","","LiteModeNotice"
"Legacy Mode would be disabled","","LiteModeNotice"
"Ignore","무시","LiteModeNotice"
"Enable lite mode","","LiteModeNotice"
"Token balances","","Overview"
"The balance displayed might not be up-to-date since the wallet is not yet fully synchronized","","Overview"
"Balance","균형","Overview"
"OTHER TOKENS","","Overview"
"NXS Balance","","Overview"
"%{token_name} balance","","Overview"
"This includes your unclaimed balance, unconfirmed balance and immature balance","","Overview"
"Incoming balances","","Overview"
"Connections","사이","Overview"
"Last updated
%{time}","","Overview"
"Block Count","블록 수","Overview"
"Market Price","시장 가격","Overview"
"Market Cap","시가 총액","Overview"
"24hr Change","24 시간 변경","Overview"
"Prime Difficulty","","Overview"
"Hash Difficulty","","Overview"
"Staking Difficulty","","Overview"
"Staking stats not yet available until you get a genesis transaction","","Overview"
"Stake Rate","이자율","Overview"
"Block Weight","블록 무게","Overview"
"Trust Weight","신뢰 무게","Overview"
"Stake Weight","스테이크 무게","Overview"
"Invalid amount","유효하지 않은 금액","Send"
"%{currency} amount","","Send"
"Amount","양","Send"
"All","모든","Send"
"Expires in","","Send"
"The amount of time since the transaction is created after which the transaction can no longer be credited by the recipient.","","Send"
"Days","","Send"
"Hours","","Send"
"Minutes","","Send"
"Seconds","","Send"
"Send","보내다","Send"
"Cannot move to the same account","","Send"
"Source and recipient must be of the same token","","Send"
"Send to","","Send"
"Recipient Name or Address","","Send"
"Your address book is empty","","Send"
"Create new contact","","Send"
"Recipient name cannot be resolved","","Send"
"Remove recipient","","Send"
"Reference must be an unsigned integer","","Send"
"Reference","","Send"
"An optional number which may be provided by the recipient to identify this transaction from the others, e.g. invoice number, order number, etc.","","Send"
"Ref. number (optional)","","Send"
"Accounts","","Send"
"Unnamed account","","Send"
"Tokens","","Send"
"Unnamed token","","Send"
"Advanced options","","Send"
"Send from","","Send"
"Select an account","계정 선택","Send"
"Add recipient","","Send"
"Proceed","","Send"
"Unnamed token","","PreviewTransaction"
"Unnamed account","","PreviewTransaction"
"From","","PreviewTransaction"
"To","","PreviewTransaction"
"Amount","양","PreviewTransaction"
"Reference","","PreviewTransaction"
"Expires","","PreviewTransaction"
"NO EXPIRY","","PreviewTransaction"
"Transaction never expires, and you won't be able to void it even if the recipient doesn't credit the transaction","","PreviewTransaction"
"in %{time_span}","","PreviewTransaction"
"You're sending","","PreviewTransaction"
"Transaction sent","거래 송부","PreviewTransaction"
"Error sending transaction","","PreviewTransaction"
"Enter your PIN to confirm","","PreviewTransaction"
"Sending transaction...","","PreviewTransaction"
"Send transaction","","PreviewTransaction"
"Select backup directory","","Settings.Application"
"Backup directory","","Settings.Application"
"Browse","","Settings.Application"
"Turn module open source policy on?","","Settings.Application"
"All modules without open source verifications, possibly including your own under-development modules, will become invalid. Wallet must be refreshed for the change to take effect.","","Settings.Application"
"Turn module open source policy off?","","Settings.Application"
"This is only for module developers and can be dangerous for
            regular users. Please make sure you know what you are doing!","","Settings.Application"
"It would be much easier for a closed source module to hide
            malicious code than for an open source one. Therefore, in case you
            still want to disable this setting, it is highly recommended that
            you only install and run closed source modules that you are
            developing yourself.","","Settings.Application"
"Turn policy off","","Settings.Application"
"Keep policy on","","Settings.Application"
"Are you sure you want to disable auto update?","","Settings.Application"
"Keeping your wallet up-to-date is important for your security and will ensure that you get the best possible user experience.","","Settings.Application"
"Keep auto update On","","Settings.Application"
"Turn auto update Off","","Settings.Application"
"Minimize on close","트레이 최소화","Settings.Application"
"Minimize the wallet when closing the window instead of closing it.","창을 닫지 않고 닫을 때 지갑을 최소화하십시오.","Settings.Application"
"Open on startup","","Settings.Application"
"Open the wallet when ever the OS starts.","","Settings.Application"
"Auto update (Recommended)","","Settings.Application"
"Automatically check for new versions and notify if a new version is available.","","Settings.Application"
"Allow Pre-releases","","Settings.Application"
"Accept pre-release versions (e.g. alpha, beta) when checking for updates.","","Settings.Application"
"Send anonymous usage data","익명의 사용 데이터 보내기","Settings.Application"
"Send anonymous usage data to allow the Nexus developers to improve the wallet.","익명의 사용 데이터를 전송하여 Nexus 개발자가 지갑을 개선 할 수있게합니다.","Settings.Application"
"Base currency","","Settings.Application"
"Developer mode","개발자 모드","Settings.Application"
"Development mode enables advanced features to aid in development. After enabling the wallet must be closed and reopened to enable those features.","개발 모드를 사용하면 개발을 지원하는 고급 기능을 사용할 수 있습니다. 이 기능을 사용하려면 지갑을 닫았다가 다시 열어야합니다.","Settings.Application"
"Module open source policy","","Settings.Application"
"Only modules which have valid open source repositories are allowed to be installed and run. You can disable this option to test run the modules that you're developing","","Settings.Application"
"Allow SymLink","","Settings.Application"
"Allow the presence of SymLinks in the module directory","","Settings.Application"
"Switch language?","","Settings.Application"
"Translations for %{language} are contributed by our amazing community members","","Settings.Application"
"Switch to %{language}","","Settings.Application"
"Cancel","취소","Settings.Application"
"Language","언어","Settings.Application"
"Verbose level","상세 수준","Settings.Core"
"Verbose level for logs.","로그에 대한 상세 수준","Settings.Core"
"Core Data Directory","","Settings.Core"
"Where the blockchain data and your legacy wallet.dat are stored","","Settings.Core"
"Clear peer connections","","Settings.Core"
"Clear all stored peer connections and restart Nexus","","Settings.Core"
"Clear","","Settings.Core"
"Lite mode","","Settings.Core"
"Nexus Core under lite mode runs lighter and synchronize much faster, but you will <b>NOT</b> be able to stake, mine, or switch the wallet to Legacy Mode.","","Settings.Core"
"Disabled when Multi-user mode is on","","Settings.Core"
"Resync database","","Settings.Core"
"Delete lite mode database and resynchronize from the beginning","","Settings.Core"
"Resynchronize","","Settings.Core"
"Multi-user","","Settings.Core"
"Allow multiple logged in users at the same time. Mining and staking will be unavailable.","","Settings.Core"
"Disabled when Lite mode is on","","Settings.Core"
"Enable staking","측설 사용","Settings.Core"
"Enable/Disable staking on the wallet.","지갑에 가위를 설정 / 해제합니다.","Settings.Core"
"Disabled when either Lite mode or Multi-user mode is on","","Settings.Core"
"Enable mining","광업 사용","Settings.Core"
"Enable/Disable mining to the wallet.","지갑에 대한 마이닝 사용 / 사용 안함","Settings.Core"
"Mining IP Whitelist","","Settings.Core"
"IP/Ports allowed to mine to. Separate by <b>;</b> . Wildcards supported only in IP","","Settings.Core"
"Safe Mode","","Settings.Core"
"Enables NextHash verification to protect against corruption, but adds computation time.","","Settings.Core"
"Are you sure you want to disable Safe Mode","","Settings.Core"
"Testnet Iteration","","Settings.Core"
"The iteration of Testnet to connect to. Leave it blank to connect to mainnet.","","Settings.Core"
"Private testnet","","Settings.Core"
"Private testnet runs locally on your machine","","Settings.Core"
"API SSL Port","","Settings.Core"
"Nexus API server SSL Port","","Settings.Core"
"Use non-SSL Ports","","Settings.Core"
"Connect to Nexus Core using non-SSL Ports (less secured)","","Settings.Core"
"API non-SSL Port","","Settings.Core"
"Nexus API server non-SSL Port","","Settings.Core"
"Advanced","","Settings.Core"
"Allow advanced core options","","Settings.Core"
"Core Flags","","Settings.Core"
"Pass these flags to the core on start","","Settings.Core"
"Reload transaction history","","Settings.Core"
