"Delete contact %{name}?","Usunąć kontakt %{name}?","AddressBook"
"Edit contact","Edytuj kontakt","AddressBook"
"Delete contact","Usuń kontakt","AddressBook"
"%{smart_count} address |||| %{smart_count} addresses","%{smart_count} adres |||| %{smart_count} adresy","AddressBook"
"New contact","Nowy kontakt","AddressBook"
"No information","Brak informacji","AddressBook"
"Delete","Usuń","AddressBook"
"Edit","Edytuj","AddressBook"
"NXS addresses","Adresy NXS","AddressBook"
"My address for %{name}","Mój adress dla %{name}","AddressBook"
"%{name}'s Address","%{name}y Addresy","AddressBook"
"Contact info","Informacje o kontakcie","AddressBook"
"Nexus user ID","","AddressBook"
"Email","Adres e-mail","AddressBook"
"Phone Number","Numer Telefonu","AddressBook"
"Local Time","Czas lokalny","AddressBook"
"Notes","Notatki","AddressBook"
"Address book","Ksiażka Adresowa","AddressBook"
"Your address book is empty","Twoja Ksiażka Adresowa jest pusta","AddressBook"
"Create new contact","Stwórz Nowy Kontakt","AddressBook"
"Search contact","Szukaj Kontaktu","AddressBook"
"Export contacts","Eksportuj Kontakty","AddressBook"
"Tritium Mode","Tryb Tritium","Header"
"Lite","","Header"
"Hybrid","","Header"
"Wallet is staking","Portfel stejkuje","Header"
"pooled","połączone","Header"
"Stake Rate","Nagroda za Stake","Header"
"Waiting for 100% synchronization to start staking...","Oczekiawnie na 100% synchronizacji, żeby zacząć staking...","Header"
"Wallet is not staking","Portfel nie prowadzi stakingu","Header"
"Synchronized","Zsynchronizowany","Header"
"Synchronizing","Synchronizacja","Header"
"Blocks","Bloki","Header"
"Estimated %{time} remaining","","Header"
"%{smart_count} hour |||| %{smart_count} hours","%{smart_count} godzina |||| %{smart_count} godzin","Header"
"%{smart_count} minute |||| %{smart_count} minutes","%{smart_count} minuta |||| %{smart_count} minuty","Header"
"%{smart_count} second |||| %{smart_count} seconds","%{smart_count} sekunda |||| %{smart_count} sekund","Header"
"You're not logged in","Nie jesteś zalogowany","Header"
"You are staking but have not received a block in 30 minutes!","","Header"
"Switching...","",""
"Active","",""
"Switch","",""
"Switch user","",""
"Closing Nexus Wallet","Zamykanie portfela Nexus",""
"Pre-Release Active","",""
"You are currenctly running a * version of the wallet. ","",""
"Thank you for testing our wallet, please ","",""
"Click here","",""
" To send feedback to the developers. ","",""
"Or join us on the offical ","",""
"Ok","",""
"Testnet Only Mode","",""
"You are currenctly running a Testnet only version of the wallet. ","",""
"The core will only connect to nexus-interactions.io:testnet1 ","",""
"Close","Zamknij",""
"Remote Core is disconnected","",""
"Connecting to Nexus Core...","Łączenie do Nexus Core...",""
"Nexus Core is stopped","Core jest wyłączony",""
"Address has been copied to clipboard","Adres został skopiowany do schowka",""
"Copy to clipboard","Skopiuj do schowka",""
"Click to copy to clipboard","Kliknij, aby skopiować",""
"Show QR code","",""
"Log in","Logowanie",""
"No Rows Found","Nie znaleziono",""
"Use virtual keyboard","",""
"<token_name></token_name> token","",""
"Unnamed token","",""
"Start Nexus Core","Rozpocznij Nexus Core",""
"Stop Nexus Core","Rozpocznij Nexus Core",""
"Quit Nexus","Wyjdź z Nexus",""
"About","O Aplikacji",""
"Cut","Wytnij",""
"Copy","Kopiuj",""
"Paste","Wklej",""
"Core","Core",""
"Application","Aplikacja",""
"Key Management","Zarządzanie kluczami",""
"Style","Styl",""
"Modules","Moduły",""
"Download Recent Database","Pobierz aktualną bazę danych",""
"Cannot bootstrap recent database in manual mode","Nie udało się pobrać bazy bootstrap w trybie manualnym",""
"Please wait for Nexus Core to start.","Proszę czekać na start Nexus Core.",""
"Reload wallet GUI","",""
"Toggle FullScreen","Tryb pełnoekranowy",""
"Toggle Developer Tools","Włącz/wyłącz narzędzia dla deweloperów",""
"Toggle Module's Developer Tools","Włącz/Wyłącz narzędzia dla developerów",""
"Nexus Website","Strona WWW Nexus",""
"Nexus Git Repository","Repozytorium Git Nexusa",""
"Nexus Wallet Guide","Przewodnik portfela Nexus",""
"Report Bug","",""
"Open Core Data Folder","Otwórz folder danych Core",""
"Open Interface Data Folder","Otwórz folder danych interfejsu",""
"Check for Updates...","Sprawdź dostępność aktualizacji...",""
"There are currently no updates available","Aktualnie nie ma dostępnych żadnych aktualizacji",""
"Checking for Updates...","Sprawdzanie dostępności aktualizacji...",""
"Update available! Downloading...","Aktualizacja jest dostępna! Pobieram...",""
"Quit and install update...","Zakończ i zainstaluj aktualizacje...",""
"File","Plik",""
"Edit","Edytuj",""
"Settings","Ustawienia",""
"View","Zobacz",""
"Help","Pomoc",""
"Error","Błąd",""
"Unknown error","Nieznany błąd",""
"Required!","",""
"Invalid!","",""
"Out of range!","",""
"Must be at least %{min} characters","",""
"Update available for %{smart_count} module |||| Updates available for %{smart_count} modules","",""
"Error fetching transactions","",""
"New transaction","Nowa tranzakcja",""
"%{smart_count} day |||| %{smart_count} days","%{smart_count} dzień |||| %{smart_count} dni",""
"%{smart_count} hour |||| %{smart_count} hours","%{smart_count} godzina |||| %{smart_count} godzin",""
"%{smart_count} minute |||| %{smart_count} minutes","%{smart_count} minuta |||| %{smart_count} minuty",""
"%{smart_count} second |||| %{smart_count} seconds","%{smart_count} sekunda |||| %{smart_count} sekund",""
"Switch user","","Header.UserDropdown"
"Log in to another user","","Header.UserDropdown"
"Accounts","Konta","Header.UserDropdown"
"Tokens","Tokeny","Header.UserDropdown"
"Set recovery phrase","Stwórz frazę przywracającą","Header.UserDropdown"
"Log out of all users","","Header.UserDropdown"
"Log out","Wyloguj","Header.UserDropdown"
"Log in","Logowanie","Header.UserDropdown"
"Create new user","Stwórz nowego użytkownika","Header.UserDropdown"
"Overview","Przegląd","NavigationBar"
"User","Użytkownik","NavigationBar"
"Send","Wyslij","NavigationBar"
"Transactions","Transakcje","NavigationBar"
"Address Book","Książka Adresowa","NavigationBar"
"Settings","Ustawienia","NavigationBar"
"Console","Konsola","NavigationBar"
"Lite mode","","LiteModeNotice"
"Lite mode is now available on Nexus Wallet! You can choose to enable lite mode now or just ignore it. You can change your decision anytime under Settings/Core.","","LiteModeNotice"
"Why you might want to enable lite mode","","LiteModeNotice"
"Nexus Core would take less resources (memory and storage) to run","","LiteModeNotice"
"Synchronization would be much faster","","LiteModeNotice"
"Why you might NOT want to enable lite mode","","LiteModeNotice"
"You would NOT be able to mine or stake","","LiteModeNotice"
"Legacy Mode would be disabled","","LiteModeNotice"
"Ignore","Zignoruj","LiteModeNotice"
"Enable lite mode","","LiteModeNotice"
"Token balances","","Overview"
"The balance displayed might not be up-to-date since the wallet is not yet fully synchronized","Saldo wyświetlane może nie być aktualne, ponieważ portfel nie jest jeszcze w pełni zsynchronizowany","Overview"
"Balance","Stan","Overview"
"OTHER TOKENS","","Overview"
"NXS Balance","","Overview"
"%{token_name} balance","","Overview"
"This includes your unclaimed balance, unconfirmed balance and immature balance","","Overview"
"Incoming balances","Salda przychodzące","Overview"
"Connections","Połaczenia","Overview"
"Last updated
%{time}","Ostatnio aktualizowano %{time}","Overview"
"Block Count","Numer Bloku","Overview"
"Market Price","Cena Rynkowa","Overview"
"Market Cap","Kapitalizacja","Overview"
"24hr Change","Różnica ceny w okresie 24 g","Overview"
"Prime Difficulty","Trudnośc Prime","Overview"
"Hash Difficulty","Trudnosć Hash","Overview"
"Staking Difficulty","","Overview"
"Staking stats not yet available until you get a genesis transaction","","Overview"
"Stake Rate","Nagroda za Stake","Overview"
"Block Weight","Waga Bloku","Overview"
"Trust Weight","Waga zaufania","Overview"
"Stake Weight","Waga Stawki","Overview"
"Invalid amount","Nieprawidłowa kwota","Send"
"%{currency} amount","","Send"
"Amount","Kwota","Send"
"All","Wszystko","Send"
"Expires in","Wygasa za","Send"
"The amount of time since the transaction is created after which the transaction can no longer be credited by the recipient.","","Send"
"Days","Dni","Send"
"Hours","Godzin/y","Send"
"Minutes","Minuty","Send"
"Seconds","Sekundy","Send"
"Send","Wyslij","Send"
"Cannot move to the same account","Nie można przesunąc srodków na to samo konto","Send"
"Source and recipient must be of the same token","","Send"
"Send to","Wyślij do","Send"
"Recipient Name or Address","","Send"
"Your address book is empty","Twoja Ksiażka Adresowa jest pusta","Send"
"Create new contact","Stwórz Nowy Kontakt","Send"
"Recipient name cannot be resolved","","Send"
"Remove recipient","Usuń odbiorce","Send"
"Reference must be an unsigned integer","","Send"
"Reference","Referencja","Send"
"An optional number which may be provided by the recipient to identify this transaction from the others, e.g. invoice number, order number, etc.","Opcjonalny numer, który odbiorca może podać w celu identyfikacji tej transakcji, np. numer faktury, numer zamówienia, itp.","Send"
"Ref. number (optional)","","Send"
"Accounts","Konta","Send"
"Unnamed account","Konto bez nazwy","Send"
"Tokens","Tokeny","Send"
"Unnamed token","","Send"
"Advanced options","Opcje zaawansowane","Send"
"Send from","Wyslij z adresu","Send"
"Select an account","Wybierz konto","Send"
"Add recipient","Dodaj odbiorcę","Send"
"Proceed","","Send"
"Unnamed token","","PreviewTransaction"
"Unnamed account","Konto bez nazwy","PreviewTransaction"
"From","Od","PreviewTransaction"
"To","Do","PreviewTransaction"
"Amount","Kwota","PreviewTransaction"
"Reference","Referencja","PreviewTransaction"
"Expires","Wygasa","PreviewTransaction"
"NO EXPIRY","","PreviewTransaction"
