Delete contact %{name}?,Şterge contactul %{name}?,AddressBook
Edit contact,Editare contact,AddressBook
Delete contact,Şterge contactul,AddressBook
%{smart_count} address |||| %{smart_count} addresses,%{smart_count} adresă |||| %{smart_count} adrese,AddressBook
New contact,Contact nou,AddressBook
No information,Nu există informaţii,AddressBook
Delete,Şterge,AddressBook
Edit,Editează,AddressBook
NXS addresses,Adrese NXS,AddressBook
My address for %{name},Adresa mea pentru %{name},AddressBook
%{name}'s Address,Adresă %{name},AddressBook
Contact info,Informatii contact,AddressBook
Email,Email,AddressBook
Phone Number,Număr de telefon,AddressBook
Local Time,Ora locală,AddressBook
Notes,Note,AddressBook
Address book,Agendă,AddressBook
Your address book is empty,Agenda ta este goală,AddressBook
Create new contact,Creează un contact nou,AddressBook
Search contact,Caută contacte,AddressBook
My Addresses,Adresele mele,AddressBook
Export contacts,Exportă contacte,AddressBook
Legacy Mode,Mod Legacy,Header
Tritium Mode,Mod Tritium,Header
Unknown login status,Status necunoscut,Header
Wallet is not encrypted,Portofelul tău nu este criptat,Header
Not logged in,Nu ești autentificat(ă),Header
Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>,Conectare<if_timed> până la %{unlockDate}</if_timed><if_minting_only> pentru staking şi minat</if_minting_only>,Header
My Addresses,Adresele mele,Header
Wallet is staking,Portofelul contribuie la miză,Header
Stake Rate,Rată miză,Header
Waiting for 100% synchronization to start staking...,Se asteaptă sincronizarea 100% pentru a începe procesul de miză...,Header
Waiting for average age of balance to exceed 72 hours to start staking...,Vârsta soldului trebuie să depăşească 72 de ore pentru a se iniţia procesul de cotă parte...,Header
Wallet is not staking,Portofelul nu contribuie la miză,Header
Checking sync status,Verificare status sincronizare,Header
Synchronizing,Sincronizare,Header
Synchronized,Sincronizare Reușită,Header
You're not logged in,Nu eşti autentificat,Header
Accounts,Conturi,Header.UserDropdown
Tokens,Monede,Header.UserDropdown
Set recovery phrase,,Header.UserDropdown
Migrate stake,Migrare cotă parte,Header.UserDropdown
Log out,Deconectare,Header.UserDropdown
Log in,Autentificare,Header.UserDropdown
Create new user,Creare utilizator nou,Header.UserDropdown
Date,Dată,MarketData
Price,Preț,MarketData
Volume,Volum,MarketData
24hr Change,Variații în 24 de ore,MarketData
High,Creştere,MarketData
Price Change,Modificare de preț,MarketData
Low,Scăzut,MarketData
Refreshing market data...,Se reîmprospătează datele din piață...,MarketData
Refresh,Reactualizează,MarketData
Market Data,Date Piață,MarketData
Open,Deschide,MarketData
Close,Închide,MarketData
Overview,Prezentare generală,NavigationBar
User,Utilizator,NavigationBar
Send NXS,Trimite NXS,NavigationBar
Send,Trimite,NavigationBar
Transactions,Tranzacţii,NavigationBar
Market Data,Date Piață,NavigationBar
Address Book,Agendă,NavigationBar
Settings,Setări,NavigationBar
Console,Consolă,NavigationBar
Closing Nexus Wallet,Portofelul Nexus se închide,
Warning,Avertisment,
IMPROPER USE OF THIS SOFTWARE COULD LEAD TO PERMANENT LOSS OF COIN.,FOLOSIREA NECONFORMĂ A ACESTUI SOFTWARE POATE DUCE LA PIERDEREA MONEDELOR.,
BACKUP YOUR WALLET OFTEN AND KEEP YOUR PASSWORDS SAFE.,CREEAZĂ COPII DE REZERVĂ DES ŞI SALVEAZĂ-ŢI PAROLELE ÎN SIGURANŢĂ.,
I understand the risk,Înţeleg riscurile,
Tritium Mode,Mod Tritium,
Your wallet is now in Tritium Mode!,Portofelul tău este acum în Modul Tritium!,
