Delete contact %{name}?,,AddressBook
Edit contact,Изменить контакт,AddressBook
Delete contact,,AddressBook
%{smart_count} address |||| %{smart_count} addresses,,AddressBook
New contact,,AddressBook
No information,,AddressBook
Delete,,AddressBook
Edit,,AddressBook
NXS addresses,,AddressBook
My address for %{name},,AddressBook
%{name}'s Address,%{name}'s Адрес,AddressBook
Contact info,,AddressBook
Email,,AddressBook
Phone Number,Номер телефона,AddressBook
Local Time,Местное время,AddressBook
Notes,Заметки,AddressBook
Address book,Адресная книга,AddressBook
Your address book is empty,,AddressBook
Create new contact,,AddressBook
Search contact,Поиск контактов,AddressBook
My Addresses,Мои адреса,AddressBook
Export contacts,Экспорт контактов,AddressBook
Legacy Mode,,Header
Tritium Mode,,Header
Unknown login status,,Header
Wallet is not encrypted,,Header
Not logged in,Кошелек заблокирован,Header
Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>,,Header
My Addresses,Мои адреса,Header
Wallet is staking,,Header
Stake Rate,Уровень интереса,Header
Waiting for 100% synchronization to start staking...,,Header
Waiting for average age of balance to exceed 72 hours to start staking...,,Header
Wallet is not staking,,Header
Checking sync status,,Header
Synchronizing,Синхронизации,Header
Synchronized,Синхронизирован,Header
pooled,,Header
You're not logged in,,Header
You are staking but have not received a block in 30 minutes!,,Header
Switching...,,
Active,,
Switch,,
Switch user,,
Closing Nexus Wallet,,
Warning,,
IMPROPER USE OF THIS SOFTWARE COULD LEAD TO PERMANENT LOSS OF COIN.,,
BACKUP YOUR WALLET OFTEN AND KEEP YOUR PASSWORDS SAFE.,,
I understand the risk,,
Close,Закрыть,
Remote Core is disconnected,,
Connecting to Nexus Core...,,
Nexus Core is stopped,,
Address has been copied to clipboard,,
Copy to clipboard,,
Click to copy to clipboard,,
Show QR code,,
Log in,,
No Rows Found,Нет строк найдено,
Page,Страница,
rows,,
Previous,,
Next,,
Use virtual keyboard,,
<token_name></token_name> token,,
Unnamed token,,
Switch to Legacy Mode,,
Are you sure you want to switch to Legacy Mode?,,
Switch to Tritium Mode,,
Start Nexus Core,,
Stop Nexus Core,,
Quit Nexus,,
About,,
Backup Wallet,,
Nexus Core is not connected,Демон не загружен,
Wallet backed up,Кошелек с резервными копиями,
View Backups,,
Cut,,
Copy,Копия,
Paste,Вставить,
Core,Ядро,
Application,Заявка,
Key Management,,
Style,Стиль,
Modules,,
Download Recent Database,,
Cannot bootstrap recent database in manual mode,,
Please wait for Nexus Core to start.,,
Toggle FullScreen,,
Toggle Developer Tools,,
Toggle Module's Developer Tools,,
Nexus Website,,
Nexus Git Repository,,
Nexus Wallet Guide,,
Open Core Data Folder,,
Open Interface Data Folder,,
Check for Updates...,,
There are currently no updates available,,
Checking for Updates...,,
Update available! Downloading...,,
Quit and install update...,,
File,,
Edit,,
Settings,Настройки,
View,,
Help,,
Transaction received,Полученная транзакция,
Transaction sent,Отправленная транзакция,
Genesis transaction,Операция генезиса,
Trust transaction,Трастовая транзакция,
Update available for %{smart_count} module |||| Updates available for %{smart_count} modules,,
New transaction,,
Error,,
Unknown error,,
Accounts,,Header.UserDropdown
Tokens,,Header.UserDropdown
Set recovery phrase,,Header.UserDropdown
Switch user,,Header.UserDropdown
Log in to another user,,Header.UserDropdown
Log out of all users,,Header.UserDropdown
Log out,,Header.UserDropdown
