"Delete contact %{name}?","Obriši kontakt %{name}?","AddressBook"
"Edit contact","Уреди контакт","AddressBook"
"Delete contact","Обриши контакт","AddressBook"
"%{smart_count} address |||| %{smart_count} addresses","%{smart_count} adresa |||| %{smart_count} adrese","AddressBook"
"New contact","Нови контакт","AddressBook"
"No information","Нема информација","AddressBook"
"Delete","Обриши","AddressBook"
"Edit","Уреди","AddressBook"
"NXS addresses","NXS адресе","AddressBook"
"My address for %{name}","Моја адреса за %{name}","AddressBook"
"%{name}'s Address","%{name} Адреса","AddressBook"
"Contact info","Контакт информације","AddressBook"
"Nexus user ID","","AddressBook"
"Email","Електронска пошта","AddressBook"
"Phone Number","Број телефона","AddressBook"
"Local Time","Локално Време","AddressBook"
"Notes","Напомене","AddressBook"
"Address book","Адресар","AddressBook"
"Your address book is empty","Ваш адресар је празан","AddressBook"
"Create new contact","Направи нови контакт","AddressBook"
"Search contact","Тражи контакт","AddressBook"
"Export contacts","Извоз контаката","AddressBook"
"Tritium Mode","Тритиум Мод","Header"
"Lite","","Header"
"Hybrid","","Header"
"Wallet is staking","Новчаник је у режиму штедње уз учешће","Header"
"pooled","","Header"
"Stake Rate","Проценат удела","Header"
"Waiting for 100% synchronization to start staking...","Чека се да синхронизација достигне 100% да би започела штедња...","Header"
"Wallet is not staking","Новчаник није у режиму штедње уз учешће","Header"
"Synchronized","Синхронизовано","Header"
"Synchronizing","Синхронизација","Header"
"Blocks","","Header"
"Estimated %{time} remaining","","Header"
"%{smart_count} hour |||| %{smart_count} hours","","Header"
"%{smart_count} minute |||| %{smart_count} minutes","","Header"
"%{smart_count} second |||| %{smart_count} seconds","","Header"
"You're not logged in","Нисте пријављени","Header"
"You are staking but have not received a block in 30 minutes!","","Header"
"Switching...","",""
"Active","",""
"Switch","",""
"Switch user","",""
"Closing Nexus Wallet","Затварање Нексус Новчаника",""
"Pre-Release Active","",""
"You are currenctly running a * version of the wallet. ","",""
"Thank you for testing our wallet, please ","",""
"Click here","",""
" To send feedback to the developers. ","",""
"Or join us on the offical ","",""
"Ok","",""
"Testnet Only Mode","",""
"You are currenctly running a Testnet only version of the wallet. ","",""
"The core will only connect to nexus-interactions.io:testnet1 ","",""
"Close","Затвори",""
"Remote Core is disconnected","",""
"Connecting to Nexus Core...","Конектовање на Нексус Језгро...",""
"Nexus Core is stopped","Нексус Језгро је заустављено",""
"Address has been copied to clipboard","Адреса копирана у привремену меморију",""
"Copy to clipboard","Копирај у привремену меморију",""
"Click to copy to clipboard","Кликни да копираш у привремену меморију",""
"Show QR code","",""
"Log in","Пријави се",""
"No Rows Found","Нема Пронађених Редова",""
"Use virtual keyboard","",""
"<token_name></token_name> token","",""
"Unnamed token","Неименовани токен",""
"Start Nexus Core","Стартуј Нексус Језгро",""
"Stop Nexus Core","Стопирај Нексус Језгро",""
"Quit Nexus","Затвори Нексус",""
"About","О апликацији",""
"Cut","Исеци",""
"Copy","Копирај",""
"Paste","Налепи",""
"Core","Језгро",""
"Application","Апликација",""
"Key Management","Управљање Кључевима",""
"Style","Стил",""
"Modules","Модули",""
"Download Recent Database","Преузимам Свежу Базу података",""
"Cannot bootstrap recent database in manual mode","Није могуће да се нова база података bootstrap-ује у мануелном моду",""
"Please wait for Nexus Core to start.","Молимо сачекајте да Нексус Језгро стартује.",""
"Reload wallet GUI","",""
"Toggle FullScreen","Укључи ПунЕкран",""
"Toggle Developer Tools","Укључи Развојне Алате",""
"Toggle Module's Developer Tools","Укључи Модулске Развојне Алате",""
"Nexus Website","Нексус Веб страница",""
"Nexus Git Repository","Нексус Гит Репозиторијум",""
"Nexus Wallet Guide","Нексус Водич за Новчаник",""
"Report Bug","",""
"Open Core Data Folder","Дата Фолдер Отвореног Језгра",""
"Open Interface Data Folder","Дата Фолдер Отвореног Интерфејса",""
"Check for Updates...","Потражи ажурирања...",""
"There are currently no updates available","Тренутно нема доступних ажурирања",""
"Checking for Updates...","Провера ажурирања...",""
"Update available! Downloading...","Ажурирање доступно! Преузимам...",""
"Quit and install update...","Прекини и инсталирај ажурирање...",""
"File","Фајл",""
"Edit","Уреди",""
"Settings","Подешавања",""
"View","Преглед",""
"Help","Помоћ",""
"Error","Грешка",""
"Unknown error","Непозната грешка",""
"Required!","",""
"Invalid!","",""
"Out of range!","",""
"Must be at least %{min} characters","",""
"Update available for %{smart_count} module |||| Updates available for %{smart_count} modules","",""
"Error fetching transactions","",""
"New transaction","Нова трансакција",""
"%{smart_count} day |||| %{smart_count} days","",""
"%{smart_count} hour |||| %{smart_count} hours","",""
"%{smart_count} minute |||| %{smart_count} minutes","",""
"%{smart_count} second |||| %{smart_count} seconds","",""
"Switch user","","Header.UserDropdown"
"Log in to another user","","Header.UserDropdown"
"Accounts","Рачуни","Header.UserDropdown"
"Tokens","Токени","Header.UserDropdown"
"Set recovery phrase","Постави фразу за опоравак","Header.UserDropdown"
"Log out of all users","","Header.UserDropdown"
"Log out","Одјави се","Header.UserDropdown"
"Log in","Пријави се","Header.UserDropdown"
"Create new user","Креирај новог корисника","Header.UserDropdown"
"Overview","Преглед","NavigationBar"
"User","Корисник","NavigationBar"
"Send","Пошаљи","NavigationBar"
"Transactions","Трансакције","NavigationBar"
"Address Book","Именик","NavigationBar"
"Settings","Подешавања","NavigationBar"
"Console","Конзола","NavigationBar"
"Lite mode","","LiteModeNotice"
"Lite mode is now available on Nexus Wallet! You can choose to enable lite mode now or just ignore it. You can change your decision anytime under Settings/Core.","","LiteModeNotice"
"Why you might want to enable lite mode","","LiteModeNotice"
"Nexus Core would take less resources (memory and storage) to run","","LiteModeNotice"
"Synchronization would be much faster","","LiteModeNotice"
"Why you might NOT want to enable lite mode","","LiteModeNotice"
"You would NOT be able to mine or stake","","LiteModeNotice"
"Legacy Mode would be disabled","","LiteModeNotice"
"Ignore","Игнориши","LiteModeNotice"
"Enable lite mode","","LiteModeNotice"
"Token balances","","Overview"
"The balance displayed might not be up-to-date since the wallet is not yet fully synchronized","Приказано стање можда није ажурно јер новчаник још увек није синхронизован","Overview"
"Balance","Стање","Overview"
"OTHER TOKENS","","Overview"
"NXS Balance","","Overview"
